,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,John Gilliam 18 yard pass from Jim Hart (Jim Bakken kick),7,0
1,1.0,Cardinals,Jim Bakken 18 yard field goal,10,0
2,1.0,Cardinals,Larry Stallings 26 yard interception return (Jim Bakken kick),17,0
3,2.0,Giants,Bob Tucker 63 yard pass from Fran Tarkenton (Pete Gogolak kick),17,7
4,4.0,Cardinals,John Gilliam 13 yard pass from Jim Hart (Jim Bakken kick),24,7
