,Quarter,Time,Tm,Detail,TEN,BAL
0,1,0:20,Titans,Leon Washington 3 yard pass from Zach Mettenberger (Ryan Succop kick),7,0
1,2,6:43,Ravens,Justin Forsett 9 yard rush (Justin Tucker kick),7,7
2,3,5:36,Ravens,Justin Forsett 11 yard rush (Justin Tucker kick),7,14
3,4,13:09,Ravens,Torrey Smith 32 yard pass from Joe Flacco (Justin Tucker kick),7,21
