,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Eddie Price 7 yard rush (Ben Agajanian kick),0,7
1,1.0,Steelers,Nick Bolkovac 15 yard field goal,3,7
2,2.0,Giants,Ken MacAfee 42 yard pass from Bob Clatterbuck (Ben Agajanian kick),3,14
3,3.0,Giants,Kyle Rote 42 yard pass from Bob Clatterbuck (Ben Agajanian kick),3,21
4,4.0,Giants,Ben Agajanian 20 yard field goal,3,24
