,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,11:16,Falcons,Jason Elam 35 yard field goal,3,0
1,1.0,6:15,Panthers,Jonathan Stewart 1 yard rush (John Kasay kick),3,7
2,2.0,12:26,Panthers,Steve Smith 4 yard pass from Jake Delhomme (John Kasay kick),3,14
3,2.0,5:56,Falcons,Jason Snelling 1 yard rush (Jason Elam kick),10,14
4,2.0,1:08,Panthers,Steve Smith 4 yard pass from Jake Delhomme (John Kasay kick),10,21
5,3.0,9:21,Falcons,Jason Elam 24 yard field goal,13,21
6,4.0,13:44,Falcons,Justin Peelle 3 yard pass from Matt Ryan (pass failed),19,21
7,4.0,2:07,Panthers,Jonathan Stewart 45 yard rush (John Kasay kick),19,28
