,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,2:29,Jaguars,Allen Hurns 5 yard pass from Blake Bortles (Jason Myers kick),7,0
1,2.0,11:32,Ravens,Crockett Gillmore 10 yard pass from Joe Flacco (Justin Tucker kick),7,7
2,2.0,3:28,Jaguars,Jason Myers 21 yard field goal,10,7
3,2.0,1:11,Ravens,Maxx Williams 21 yard pass from Joe Flacco (Justin Tucker kick),10,14
4,3.0,14:27,Jaguars,Jason Myers 45 yard field goal,13,14
5,4.0,13:01,Jaguars,Allen Robinson 15 yard pass from Blake Bortles (pass failed),19,14
6,4.0,7:30,Ravens,Chris Givens 14 yard pass from Joe Flacco (pass failed),19,20
7,4.0,0:00,Jaguars,Jason Myers 53 yard field goal,22,20
