,Quarter,Tm,Detail,NYG,BUF
0,1.0,Bills,Steve Christie 24 yard field goal,0,3
1,1.0,Bills,Henry Jones 85 yard interception return (Steve Christie kick),0,10
2,2.0,Giants,Chris Calloway 5 yard pass from Phil Simms (David Treadwell kick),7,10
3,2.0,Giants,Mark Jackson 3 yard pass from Phil Simms (David Treadwell kick),14,10
4,4.0,Bills,Pete Metzelaars 8 yard pass from Jim Kelly (Steve Christie kick),14,17
