,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Don Chandler 14 yard field goal,3,0
1,1.0,Rams,Ben Wilson 4 yard rush (Bruce Gossett kick),3,7
2,2.0,Rams,Bruce Gossett 26 yard field goal,3,10
3,2.0,Rams,Bruce Gossett 49 yard field goal,3,13
4,4.0,Rams,Bruce Gossett 43 yard field goal,3,16
5,4.0,Rams,"Safety, Jones tackled Bratkowski in end zone",3,18
6,4.0,Packers,Elijah Pitts 80 yard pass from Zeke Bratkowski (Don Chandler kick),10,18
7,4.0,Rams,Bruce Gossett 41 yard field goal,10,21
