,Quarter,Tm,Detail,RAI,DAL
0,1.0,Cowboys,Rafael Septien 20 yard field goal,0,3
1,2.0,Raiders,Chris Bahr 45 yard field goal,3,3
2,2.0,Cowboys,Tony Dorsett 13 yard rush (Rafael Septien kick),3,10
3,3.0,Raiders,Dokie Williams 20 yard pass from Jim Plunkett (Chris Bahr kick),10,10
4,3.0,Cowboys,Rafael Septien 20 yard field goal,10,13
5,4.0,Raiders,Dokie Williams 40 yard pass from Jim Plunkett (Chris Bahr kick),17,13
