,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Don Stonesifer 26 yard pass from Steve Romanik (Pat Summerall kick),7,0
1,1.0,Redskins,Eddie LeBaron 9 yard rush (Bill Dudley kick),7,7
2,2.0,Cardinals,Pat Summerall 45 yard field goal,10,7
3,2.0,Redskins,Hugh Taylor 14 yard pass from Jack Scarbath (Bill Dudley kick),10,14
4,2.0,Cardinals,Gern Nagler 41 yard pass from Steve Romanik (Pat Summerall kick),17,14
5,4.0,Redskins,Leon Heath 2 yard rush (Bill Dudley kick),17,21
6,4.0,Redskins,Leon Heath 1 yard rush (Bill Dudley kick),17,28
