,Quarter,Time,Tm,Detail,SDG,IND
0,1.0,,Colts,Marshall Faulk 19 yard pass from Peyton Manning (Ken Dilger run),0,8
1,1.0,,Colts,Mike Vanderjagt 48 yard field goal,0,11
2,2.0,,Chargers,John Carney 50 yard field goal,3,11
3,2.0,1:58,Chargers,John Carney 25 yard field goal,6,11
4,4.0,1:58,Colts,Mike Vanderjagt 51 yard field goal,6,14
5,4.0,2:00,Chargers,Natrone Means 1 yard rush (pass failed),12,14
6,4.0,1:15,Colts,Mike Vanderjagt 40 yard field goal,12,17
