,Quarter,Tm,Detail,PHI,RAM
0,1.0,Eagles,Ted Wegert 11 yard rush (Bobby Walston kick),7,0
1,1.0,Rams,Leon Clarke 36 yard pass from Billy Wade (Les Richter kick),7,7
2,2.0,Rams,Les Richter 17 yard field goal,7,10
3,3.0,Rams,Ron Waller 2 yard rush (Les Richter kick),7,17
4,4.0,Rams,Les Richter 25 yard field goal,7,20
5,4.0,Rams,Joe Marconi 3 yard rush (Les Richter kick),7,27
