,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Chiefs,Nick Lowery 31 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 42 yard field goal,0,6
2,2.0,Chiefs,Nick Lowery 21 yard field goal,0,9
3,2.0,Jets,Pat Leahy 37 yard field goal,3,9
4,2.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),10,9
5,3.0,Jets,Mickey Shuler 15 yard pass from Pat Ryan (Pat Leahy kick),17,9
6,4.0,Chiefs,Willie Scott 1 yard pass from Todd Blackledge (Nick Lowery kick),17,16
