,Quarter,Tm,Detail,GNB,NYY
0,1.0,Yanks,Sherman Howard 2 yard rush (Harvey Johnson kick),0,7
1,1.0,Yanks,Sherman Howard 75 yard pass from Bob Celeri (Harvey Johnson kick),0,14
2,2.0,Packers,Bob Mann 7 yard pass from Tobin Rote,6,14
3,2.0,Yanks,Dan Garza 52 yard pass from Bob Celeri (Harvey Johnson kick),6,21
4,4.0,Packers,Ray Pelfrey 2 yard pass from Bobby Thomason (Fred Cone kick),13,21
5,4.0,Packers,Jug Girard 75 yard pass from Bobby Thomason (Fred Cone kick),20,21
6,4.0,Packers,Tony Canadeo 15 yard pass from Bobby Thomason,26,21
7,4.0,Yanks,Dan Garza 15 yard pass from Bob Celeri,26,27
8,4.0,Packers,Fred Cone 16 yard field goal,29,27
