,Quarter,Tm,Detail,PIT,BUF
0,1.0,Bills,Andre Reed 3 yard pass from Jim Kelly,0,6
1,2.0,Bills,Robb Riddick 5 yard rush (Scott Norwood kick),0,13
2,3.0,Steelers,Earnest Jackson 5 yard rush,6,13
3,3.0,Steelers,Weegie Thompson 11 yard pass from Mark Malone,12,13
4,4.0,Bills,Scott Norwood 29 yard field goal,12,16
