,Quarter,Time,Tm,Detail,BUF,ARI
0,1.0,11:36,Bills,Eric Moulds 15 yard pass from Doug Flutie (Steve Christie kick),7,0
1,1.0,1:03,Bills,Jonathan Linton 6 yard rush (Steve Christie kick),14,0
2,2.0,9:31,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),14,7
3,2.0,1:15,Cardinals,Mario Bates 2 yard rush (Chris Jacke kick),14,14
4,3.0,4:07,Bills,Steve Christie 33 yard field goal,17,14
5,4.0,3:01,Bills,Jay Riemersma 4 yard pass from Doug Flutie (Steve Christie kick),24,14
6,4.0,1:49,Cardinals,Rob Moore 26 yard pass from Jake Plummer (Chris Jacke kick),24,21
7,4.0,1:44,Bills,Henry Jones 37 yard kickoff return (Steve Christie kick),31,21
