,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Ward Cuff 43 yard field goal,0,3
1,2.0,Giants,Len Barnum 13 yard rush (Ward Cuff kick),0,10
2,4.0,Giants,Ward Cuff 40 yard field goal,0,13
3,4.0,Giants,Ward Cuff 24 yard field goal,0,16
4,4.0,Bears,Dick Plasman 68 yard pass from Sid Luckman,6,16
5,4.0,Bears,Joe Maniaci 3 yard rush (Jack Manders kick),13,16
