,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Pete Mandley 63 yard punt return (Eddie Murray kick),0,7
1,1.0,49ers,Joe Montana 1 yard rush (Ray Wersching kick),7,7
2,1.0,49ers,Guy McIntyre special teams fumble recovery in end zone (Ray Wersching kick),14,7
3,2.0,Lions,James Jones 2 yard rush (Eddie Murray kick),14,14
4,2.0,Lions,Eddie Murray 24 yard field goal,14,17
5,2.0,Lions,Eddie Murray 41 yard field goal,14,20
6,3.0,Lions,Eddie Murray 45 yard field goal,14,23
7,4.0,49ers,Roger Craig 11 yard rush (Ray Wersching kick),21,23
