,Quarter,Tm,Detail,NWE,SEA
0,1.0,Patriots,John Smith 19 yard field goal,3,0
1,1.0,Seahawks,Efren Herrera 33 yard field goal,3,3
2,2.0,Seahawks,Steve Largent 20 yard pass from Jim Zorn (Efren Herrera kick),3,10
3,2.0,Patriots,Stanley Morgan 68 yard pass from Steve Grogan (John Smith kick),10,10
4,2.0,Patriots,Stanley Morgan 40 yard pass from Steve Grogan (John Smith kick),17,10
5,2.0,Seahawks,Sam McCullum 22 yard pass from Jim Zorn (Efren Herrera kick),17,17
6,2.0,Patriots,John Smith 30 yard field goal,20,17
7,3.0,Patriots,Horace Ivory 20 yard rush (John Smith kick),27,17
8,4.0,Seahawks,Steve Largent 31 yard pass from Jim Zorn (Efren Herrera kick),27,24
9,4.0,Patriots,John Smith 29 yard field goal,30,24
10,4.0,Seahawks,Sam McCullum 21 yard pass from Jim Zorn (Efren Herrera kick),30,31
11,4.0,Patriots,Don Hasselbeck 16 yard pass from Steve Grogan (John Smith kick),37,31
