,Quarter,Time,Tm,Detail,JAX,STL
0,1.0,,Rams,Anthony Parker 92 yard interception return (Chip Lohmiller kick),0,7
1,1.0,,Rams,Chip Lohmiller 25 yard field goal,0,10
2,2.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),7,10
3,3.0,,Jaguars,James Stewart 8 yard rush (Mike Hollis kick),14,10
4,3.0,,Rams,Eddie Kennison 29 yard pass from Tony Banks (Chip Lohmiller kick),14,17
