,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Mickey Shuler 32 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,2.0,Bills,Walter Broughton 25 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,3.0,Bills,Jamie Mueller 2 yard rush (Scott Norwood kick),14,7
3,3.0,Bills,Scott Norwood 42 yard field goal,17,7
4,4.0,Jets,Kurt Sohn 4 yard pass from Ken O'Brien (Pat Leahy kick),17,14
