,Quarter,Tm,Detail,DTX,RAM
0,1.0,Rams,Dan Towler 44 yard rush (Bob Waterfield kick),0,7
1,1.0,Rams,Vitamin Smith 37 yard pass from Norm Van Brocklin (Bob Waterfield kick),0,14
2,2.0,Rams,Herb Rich 97 yard interception return (Bob Waterfield kick),0,21
3,2.0,Rams,Skeets Quinlan 63 yard pass from Bob Waterfield (Bob Waterfield kick),0,28
4,2.0,Rams,Tom Fears 15 yard pass from Bob Waterfield (Bob Waterfield kick),0,35
5,3.0,Rams,Dan Towler 1 yard rush (Bob Waterfield kick),0,42
6,3.0,Texans,Gino Marchetti 17 yard pass from Hank Lauricella,6,42
7,4.0,Texans,Dick Wilkins 34 yard pass from Hank Lauricella (Chubby Grigg kick),13,42
8,4.0,Texans,Jerry Davis 66 yard interception return (Chubby Grigg kick),20,42
