,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),0,7
1,2.0,Eagles,Luis Zendejas 37 yard field goal,3,7
2,2.0,Eagles,Keith Jackson 12 yard pass from Randall Cunningham (Luis Zendejas kick),10,7
3,3.0,Eagles,Mike Quick 15 yard pass from Randall Cunningham (Luis Zendejas kick),17,7
4,4.0,Eagles,Luis Zendejas 27 yard field goal,20,7
5,4.0,Eagles,Luis Zendejas 27 yard field goal,23,7
