,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,14:43,Giants,Ron Dixon 97 yard kickoff return (Brad Daluiso kick),0,7
1,2.0,14:55,Giants,Brad Daluiso 37 yard field goal,0,10
2,2.0,1:40,Giants,Jason Sehorn 32 yard interception return (Brad Daluiso kick),0,17
3,2.0,0:26,Eagles,David Akers 28 yard field goal,3,17
4,4.0,8:41,Giants,Brad Daluiso 25 yard field goal,3,20
5,4.0,1:56,Eagles,Torrance Small 10 yard pass from Donovan McNabb (David Akers kick),10,20
