,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Paul Flatley 15 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,1.0,Rams,Bruce Gossett 18 yard field goal,3,7
2,2.0,Vikings,Bill Brown 13 yard pass from Fran Tarkenton (Fred Cox kick),3,14
3,2.0,Vikings,Fred Cox 16 yard field goal,3,17
4,3.0,Vikings,George Rose 32 yard interception return (Fred Cox kick),3,24
5,3.0,Rams,Ben Wilson 27 yard pass from Bill Munson (Bruce Gossett kick),10,24
6,3.0,Rams,Bruce Gossett 33 yard field goal,13,24
7,4.0,Vikings,Fred Cox 32 yard field goal,13,27
8,4.0,Vikings,Tom Hall 30 yard pass from Tommy Mason (Fred Cox kick),13,34
