,Quarter,Time,Tm,Detail,NYG,OAK
0,1.0,15:00,Raiders,Napoleon Kaufman 80 yard rush (Greg Davis kick),0,7
1,1.0,12:03,Giants,Ike Hilliard 10 yard pass from Danny Kanell (Brad Daluiso kick),7,7
2,2.0,0:04,Raiders,Greg Davis 41 yard field goal,7,10
3,3.0,12:35,Giants,Chris Calloway 20 yard pass from Danny Kanell (Brad Daluiso kick),14,10
4,3.0,9:04,Raiders,Tim Brown 22 yard pass from Jeff George (Greg Davis kick),14,17
5,3.0,1:21,Giants,Brad Daluiso 43 yard field goal,17,17
6,4.0,2:35,Raiders,Greg Davis 26 yard field goal,17,20
