,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,14:46,Steelers,Antonio Brown 89 yard kickoff return (Jeff Reed kick),7,0
1,1.0,10:46,Titans,Rob Bironas 21 yard field goal,7,3
2,2.0,14:12,Steelers,Jeff Reed 36 yard field goal,10,3
3,2.0,0:00,Steelers,Jeff Reed 34 yard field goal,13,3
4,4.0,14:56,Steelers,Jeff Reed 25 yard field goal,16,3
5,4.0,4:59,Steelers,Jeff Reed 27 yard field goal,19,3
6,4.0,0:58,Titans,Nate Washington 2 yard pass from Kerry Collins (Kenny Britt pass from Kerry Collins),19,11
