,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,R.C. Owens 34 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,49ers,Hugh McElhenny 47 yard pass from Y.A. Tittle (Gordie Soltau kick),0,14
2,2.0,Lions,Steve Junker 4 yard pass from Tobin Rote (Jim Martin kick),7,14
3,2.0,49ers,Billy Wilson 12 yard pass from Y.A. Tittle (Gordie Soltau kick),7,21
4,2.0,49ers,Gordie Soltau 25 yard field goal,7,24
5,3.0,49ers,Gordie Soltau 10 yard field goal,7,27
6,3.0,Lions,Tom Tracy 1 yard rush (Jim Martin kick),14,27
7,3.0,Lions,Tom Tracy 58 yard rush (Jim Martin kick),21,27
8,4.0,Lions,Gene Gedman 2 yard rush (Jim Martin kick),28,27
9,4.0,Lions,Jim Martin 13 yard field goal,31,27
