,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,,Rams,Isaac Bruce 55 yard pass from Chris Miller (Dean Biasucci kick),7,0
1,2.0,,Saints,Ray Zellars 1 yard rush (Doug Brien kick),7,7
2,2.0,,Saints,Doug Brien 35 yard field goal,7,10
3,3.0,,Saints,Doug Brien 26 yard field goal,7,13
4,3.0,,Rams,Dean Biasucci 32 yard field goal,10,13
5,4.0,,Saints,Doug Brien 47 yard field goal,10,16
6,4.0,,Saints,Doug Brien 42 yard field goal,10,19
