,Quarter,Tm,Detail,CIN,SDG
0,1.0,Chargers,Rolf Benirschke 26 yard field goal,0,3
1,2.0,Chargers,Rolf Benirschke 20 yard field goal,0,6
2,3.0,Chargers,Bob Klein 16 yard pass from Dan Fouts (Rolf Benirschke kick),0,13
3,3.0,Chargers,Mike Fuller 21 yard interception return,0,19
4,4.0,Chargers,Rolf Benirschke 37 yard field goal,0,22
5,4.0,Bengals,Rick Walker 3 yard pass from Ken Anderson,6,22
6,4.0,Bengals,Billy Brooks 19 yard pass from Ken Anderson (Chris Bahr kick),13,22
