,Quarter,Time,Tm,Detail,CAR,IND
0,1.0,9:30,Colts,Jacoby Brissett 1 yard rush (Chase McLaughlin kick),0,7
1,1.0,7:58,Colts,Nyheim Hines 84 yard punt return (Chase McLaughlin kick),0,14
2,2.0,10:22,Panthers,Joey Slye 27 yard field goal,3,14
3,2.0,5:17,Colts,Marlon Mack 2 yard rush (Chase McLaughlin kick),3,21
4,3.0,11:03,Colts,Chase McLaughlin 35 yard field goal,3,24
5,3.0,4:21,Panthers,Joey Slye 50 yard field goal,6,24
6,4.0,7:34,Colts,Nyheim Hines 71 yard punt return (Chase McLaughlin kick),6,31
7,4.0,3:13,Colts,Jordan Wilkins 1 yard rush (Chase McLaughlin kick),6,38
