,Quarter,Tm,Detail,PIT,DEN
0,1.0,Steelers,Gary Anderson 26 yard field goal,3,0
1,2.0,Steelers,Eric Green 23 yard pass from Neil O'Donnell (Gary Anderson kick),10,0
2,2.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),10,7
3,2.0,Broncos,John Elway 4 yard rush (David Treadwell kick),10,14
4,2.0,Broncos,David Treadwell 28 yard field goal,10,17
5,3.0,Broncos,David Treadwell 21 yard field goal,10,20
6,4.0,Steelers,Gary Anderson 39 yard field goal,13,20
