,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,12:28,Steelers,Hines Ward 21 yard pass from Jerome Bettis (Kris Brown kick),0,7
1,1.0,11:12,Ravens,Priest Holmes 64 yard rush (Matt Stover kick),7,7
2,1.0,4:11,Steelers,Kris Brown 31 yard field goal,7,10
3,2.0,13:55,Ravens,Matt Stover 19 yard field goal,10,10
4,3.0,12:47,Ravens,Qadry Ismail 54 yard pass from Tony Banks (Matt Stover kick),17,10
5,3.0,9:30,Steelers,Troy Edwards 6 yard pass from Mike Tomczak (Kris Brown kick),17,17
6,3.0,8:28,Ravens,Qadry Ismail 59 yard pass from Tony Banks (Matt Stover kick),24,17
7,3.0,3:19,Ravens,Qadry Ismail 76 yard pass from Tony Banks (Matt Stover kick),31,17
8,4.0,2:45,Steelers,Kordell Stewart 11 yard pass from Mike Tomczak (Kris Brown kick),31,24
