,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Jim Breech 21 yard field goal,0,3
1,2.0,Steelers,Gary Anderson 47 yard field goal,3,3
2,2.0,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),10,3
3,2.0,Steelers,Gary Anderson 21 yard field goal,13,3
4,3.0,Bengals,James Brooks 24 yard rush (run failed),13,9
5,3.0,Bengals,Jim Breech 42 yard field goal,13,12
6,3.0,Bengals,Jim Breech 28 yard field goal,13,15
7,4.0,Steelers,Louis Lipps 36 yard rush (Gary Anderson kick),20,15
8,4.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),20,22
