,Quarter,Tm,Detail,MIN,FRN
0,2.0,Yellow Jackets,Wally Diehl 18 yard rush (Ken Mercer kick),0,7
1,2.0,Yellow Jackets,Ken Mercer 30 yard field goal,0,10
2,3.0,Yellow Jackets,Tony Kostos unknown yard pass from Ken Mercer (Ken Mercer kick),0,17
3,3.0,Yellow Jackets,Wally Diehl 10 yard rush (Ken Mercer kick),0,24
