,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Bob Masterson 24 yard field goal,0,3
1,1.0,Redskins,Dick Todd 73 yard punt return (Bob Masterson kick),0,10
2,2.0,Redskins,Bob McChesney 14 yard pass from Sammy Baugh (Ki Aldrich kick),0,17
3,2.0,Rams,Red Hickey 10 yard pass from Parker Hall,6,17
4,4.0,Rams,Parker Hall 1 yard rush (Chet Adams kick),13,17
