,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,James Jefferson 97 yard kickoff return (Norm Johnson kick),0,7
1,1.0,Chiefs,Nick Lowery 39 yard field goal,3,7
2,2.0,Seahawks,Norm Johnson 37 yard field goal,3,10
3,2.0,Seahawks,Norm Johnson 26 yard field goal,3,13
4,2.0,Seahawks,Norm Johnson 37 yard field goal,3,16
5,3.0,Chiefs,Christian Okoye 13 yard rush (Nick Lowery kick),10,16
6,4.0,Chiefs,Nick Lowery 25 yard field goal,13,16
7,4.0,Chiefs,Alfredo Roberts 2 yard pass from Ron Jaworski (Nick Lowery kick),20,16
