,Quarter,Time,Tm,Detail,BAL,CAR
0,1.0,7:50,Ravens,Alex Collins 14 yard rush (Justin Tucker kick),7,0
1,1.0,0:36,Panthers,Christian McCaffrey 11 yard rush (Graham Gano kick),7,7
2,2.0,13:25,Panthers,Greg Olsen 11 yard pass from Cam Newton (Graham Gano kick),7,14
3,2.0,3:45,Panthers,Christian McCaffrey 6 yard pass from Cam Newton (Graham Gano kick),7,21
4,2.0,0:00,Panthers,Graham Gano 54 yard field goal,7,24
5,3.0,2:58,Panthers,Graham Gano 44 yard field goal,7,27
6,3.0,0:10,Ravens,Javorius Allen 9 yard pass from Joe Flacco (Justin Tucker kick),14,27
7,4.0,9:52,Panthers,Cam Newton 12 yard rush (pass failed),14,33
8,4.0,3:10,Panthers,Graham Gano 30 yard field goal,14,36
9,4.0,1:02,Ravens,Hayden Hurst 26 yard pass from Lamar Jackson (Justin Tucker kick),21,36
