,Quarter,Time,Tm,Detail,CAR,TAM
0,2.0,7:59,Panthers,Greg Olsen 5 yard pass from Derek Anderson (Graham Gano kick),7,0
1,2.0,0:00,Panthers,Graham Gano 28 yard field goal,10,0
2,4.0,14:53,Panthers,Kelvin Benjamin 26 yard pass from Derek Anderson (Graham Gano kick),17,0
3,4.0,7:23,Buccaneers,Chris Owusu 19 yard pass from Josh McCown (Patrick Murray kick),17,7
4,4.0,2:06,Buccaneers,Bobby Rainey 6 yard pass from Josh McCown (Patrick Murray kick),17,14
5,4.0,0:23,Panthers,Graham Gano 33 yard field goal,20,14
