,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Warren Wells 36 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,2.0,Broncos,Bobby Howfield 47 yard field goal,7,3
2,2.0,Raiders,George Blanda 32 yard field goal,10,3
3,3.0,Broncos,Bobby Howfield 44 yard field goal,10,6
4,3.0,Raiders,Hewritt Dixon 46 yard pass from Daryle Lamonica (George Blanda kick),17,6
5,4.0,Broncos,Jim Whalen 10 yard pass from Pete Liske,17,12
6,4.0,Broncos,Pete Liske 1 yard rush (Bobby Howfield kick),17,19
7,4.0,Raiders,Fred Biletnikoff 20 yard pass from George Blanda (George Blanda kick),24,19
