,Quarter,Tm,Detail,BAL,PHI
0,2.0,Eagles,Sam Baker 9 yard field goal,0,3
1,2.0,Eagles,Sam Baker 35 yard field goal,0,6
2,2.0,Colts,Jerry Hill 2 yard rush (Lou Michaels kick),7,6
3,2.0,Colts,Willie Richardson 10 yard pass from Johnny Unitas (Lou Michaels kick),14,6
4,3.0,Colts,Willie Richardson 31 yard pass from Johnny Unitas (Lou Michaels kick),21,6
5,3.0,Colts,Tony Lorick 3 yard rush (Lou Michaels kick),28,6
6,4.0,Colts,Lou Michaels 52 yard field goal,31,6
7,4.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),38,6
