,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Ali Haji-Sheikh 21 yard field goal,0,3
1,2.0,Eagles,Mike Quick 5 yard pass from Ron Jaworski (Tony Franklin kick),7,3
2,2.0,Giants,Ali Haji-Sheikh 37 yard field goal,7,6
3,3.0,Eagles,Mike Quick 18 yard pass from Ron Jaworski (Tony Franklin kick),14,6
4,4.0,Giants,Butch Woolfolk 7 yard rush (Ali Haji-Sheikh kick),14,13
5,4.0,Eagles,Tony Franklin 25 yard field goal,17,13
