,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Lou Groza 34 yard field goal,0,3
1,2.0,Browns,Bobby Mitchell 52 yard pass from Milt Plum (Lou Groza kick),0,10
2,2.0,Browns,Bobby Mitchell 64 yard punt return (Lou Groza kick),0,17
3,2.0,Redskins,Tom Osborne 6 yard pass from Norm Snead (John Aveni kick),7,17
4,4.0,Browns,Bobby Mitchell 31 yard rush (Lou Groza kick),7,24
5,4.0,Browns,Ray Renfro 17 yard pass from Len Dawson (Lou Groza kick),7,31
