,Quarter,Tm,Detail,KAN,PIT
0,1.0,Chiefs,Deron Cherry special teams fumble recovery in end zone (Nick Lowery kick),7,0
1,2.0,Chiefs,Nick Lowery 47 yard field goal,10,0
2,2.0,Steelers,Gary Anderson 31 yard field goal,10,3
3,2.0,Chiefs,Boyce Green 97 yard kickoff return (Nick Lowery kick),17,3
4,2.0,Steelers,Gary Anderson 31 yard field goal,17,6
5,2.0,Chiefs,Lloyd Burruss 78 yard blocked field goal return (Nick Lowery kick),24,6
6,3.0,Steelers,Mark Malone 9 yard rush (Gary Anderson kick),24,13
7,4.0,Steelers,Gary Anderson 31 yard field goal,24,16
8,4.0,Steelers,Gary Anderson 26 yard field goal,24,19
