,Quarter,Tm,Detail,NOR,PHO
0,1.0,Cardinals,Greg Davis 38 yard field goal,0,3
1,2.0,Saints,Morten Andersen 27 yard field goal,3,3
2,2.0,Saints,Dalton Hilliard 2 yard rush (Morten Andersen kick),10,3
3,2.0,Saints,Morten Andersen 39 yard field goal,13,3
4,3.0,Saints,Buford Jordan 3 yard rush (Morten Andersen kick),20,3
5,4.0,Saints,Floyd Turner 19 yard pass from Bobby Hebert (Morten Andersen kick),27,3
