,Quarter,Tm,Detail,WAS,MIN
0,2.0,Vikings,Fred Cox 19 yard field goal,0,3
1,2.0,Redskins,Larry Brown 3 yard rush (Curt Knight kick),7,3
2,3.0,Vikings,Bill Brown 2 yard rush (Fred Cox kick),7,10
3,3.0,Redskins,Curt Knight 52 yard field goal,10,10
4,4.0,Redskins,Curt Knight 42 yard field goal,13,10
5,4.0,Vikings,John Gilliam 28 yard pass from Fran Tarkenton (Fred Cox kick),13,17
6,4.0,Vikings,John Gilliam 6 yard pass from Fran Tarkenton (Fred Cox kick),13,24
7,4.0,Redskins,Roy Jefferson 28 yard pass from Billy Kilmer (Curt Knight kick),20,24
8,4.0,Vikings,Fred Cox 30 yard field goal,20,27
