,Quarter,Time,Tm,Detail,NOR,DET
0,1.0,12:02,Lions,D'Andre Swift 7 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,1.0,10:29,Lions,Kenny Golladay 15 yard pass from Matthew Stafford (Matt Prater kick),0,14
2,1.0,3:13,Saints,Latavius Murray 3 yard rush (Wil Lutz kick),7,14
3,2.0,10:13,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,14
4,2.0,3:08,Saints,Tre'Quan Smith 2 yard pass from Drew Brees (Wil Lutz kick),21,14
5,2.0,0:50,Saints,Tre'Quan Smith 20 yard pass from Drew Brees (Wil Lutz kick),28,14
6,3.0,8:58,Saints,Latavius Murray 6 yard rush (Wil Lutz kick),35,14
7,3.0,4:24,Lions,T.J. Hockenson 1 yard pass from Matthew Stafford (Matt Prater kick),35,21
8,4.0,3:44,Lions,Adrian Peterson 5 yard rush (T.J. Hockenson pass from Matthew Stafford),35,29
