,Quarter,Tm,Detail,PIT,BUF
0,2.0,Steelers,John Stallworth 28 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),14,0
2,4.0,Steelers,Sidney Thornton 2 yard rush (Roy Gerela kick),21,0
3,4.0,Bills,Frank Lewis 22 yard pass from Bill Munson (Tom Dempsey kick),21,7
4,4.0,Bills,Tom Dempsey 32 yard field goal,21,10
5,4.0,Steelers,Theo Bell 15 yard pass from Terry Bradshaw (Roy Gerela kick),28,10
6,4.0,Bills,Reuben Gant 3 yard pass from Bill Munson (Tom Dempsey kick),28,17
