,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Charle Young 13 yard pass from Roman Gabriel (Horst Muhlmann kick),0,7
1,1.0,Eagles,Horst Muhlmann 37 yard field goal,0,10
2,1.0,Cardinals,Jim Otis 3 yard pass from Jim Hart (Jim Bakken kick),7,10
3,2.0,Eagles,Po James 47 yard pass from Roman Gabriel (Horst Muhlmann kick),7,17
4,2.0,Eagles,Horst Muhlmann 27 yard field goal,7,20
5,3.0,Eagles,Horst Muhlmann 25 yard field goal,7,23
6,3.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),14,23
7,4.0,Cardinals,Jim Hart 5 yard rush (Jim Bakken kick),21,23
8,4.0,Cardinals,Jim Bakken 30 yard field goal,24,23
