,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,,Jaguars,Willie Jackson 38 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,1.0,,Steelers,Norm Johnson 48 yard field goal,3,7
2,2.0,,Steelers,Norm Johnson 29 yard field goal,6,7
3,2.0,,Jaguars,Keenan McCardell 15 yard pass from Mark Brunell (Mike Hollis kick),6,14
4,3.0,,Steelers,Norm Johnson 23 yard field goal,9,14
5,4.0,,Jaguars,Mike Hollis 52 yard field goal,9,17
6,4.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),9,24
