,Quarter,Time,Tm,Detail,SEA,WAS
0,1.0,,Seahawks,Todd Peterson 39 yard field goal,3,0
1,1.0,,Redskins,Eddie Murray 18 yard field goal,3,3
2,2.0,,Seahawks,Joey Galloway 59 yard pass from Rick Mirer (Todd Peterson kick),10,3
3,2.0,,Redskins,Olanda Truitt 18 yard pass from Gus Frerotte (Eddie Murray kick),10,10
4,3.0,,Seahawks,Carlester Crumpler 10 yard pass from Rick Mirer (Todd Peterson kick),17,10
5,4.0,,Redskins,Eddie Murray 48 yard field goal,17,13
6,4.0,,Seahawks,Chris Warren 5 yard rush (Todd Peterson kick),24,13
7,4.0,,Seahawks,Todd Peterson 47 yard field goal,27,13
8,4.0,,Redskins,Michael Westbrook 5 yard pass from Heath Shuler (Eddie Murray kick),27,20
