,Quarter,Tm,Detail,DAL,BUF
0,1.0,Cowboys,Eddie Murray 41 yard field goal,3,0
1,1.0,Bills,Steve Christie 54 yard field goal,3,3
2,1.0,Cowboys,Eddie Murray 24 yard field goal,6,3
3,2.0,Bills,Thurman Thomas 4 yard rush (Steve Christie kick),6,10
4,2.0,Bills,Steve Christie 28 yard field goal,6,13
5,3.0,Cowboys,James Washington 48 yard defensive fumble return (Eddie Murray kick),13,13
6,3.0,Cowboys,Emmitt Smith 15 yard rush (Eddie Murray kick),20,13
7,4.0,Cowboys,Emmitt Smith 1 yard rush (Eddie Murray kick),27,13
8,4.0,Cowboys,Eddie Murray 20 yard field goal,30,13
