,Quarter,Time,Tm,Detail,NYJ,IND
0,2.0,14:56,Colts,Matt Stover 25 yard field goal,0,3
1,2.0,14:45,Jets,Braylon Edwards 80 yard pass from Mark Sanchez (Jay Feely kick),7,3
2,2.0,8:44,Colts,Matt Stover 19 yard field goal,7,6
3,2.0,4:53,Jets,Dustin Keller 9 yard pass from Mark Sanchez (Jay Feely kick),14,6
4,2.0,2:11,Jets,Jay Feely 48 yard field goal,17,6
5,2.0,1:13,Colts,Austin Collie 16 yard pass from Peyton Manning (Matt Stover kick),17,13
6,3.0,8:03,Colts,Pierre Garcon 4 yard pass from Peyton Manning (Matt Stover kick),17,20
7,4.0,8:52,Colts,Dallas Clark 15 yard pass from Peyton Manning (Matt Stover kick),17,27
8,4.0,2:29,Colts,Matt Stover 21 yard field goal,17,30
