,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Riley Odoms 22 yard pass from Craig Morton (Fred Steinfort kick),0,7
1,2.0,Seahawks,Wilson Alvarez 28 yard field goal,3,7
2,2.0,Broncos,Fred Steinfort 33 yard field goal,3,10
3,3.0,Broncos,Fred Steinfort 43 yard field goal,3,13
4,3.0,Broncos,Fred Steinfort 24 yard field goal,3,16
5,3.0,Seahawks,Wilson Alvarez 20 yard field goal,6,16
6,4.0,Broncos,Rick Parros 8 yard rush (Fred Steinfort kick),6,23
7,4.0,Seahawks,David Hughes 5 yard pass from Dave Krieg (Wilson Alvarez kick),13,23
