,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Fred Cox 19 yard field goal,0,3
1,2.0,Vikings,Fred Cox 24 yard field goal,0,6
2,2.0,Vikings,John Henderson 15 yard pass from Fran Tarkenton (Fred Cox kick),0,13
3,2.0,Bears,Mac Percival 27 yard field goal,3,13
4,3.0,Vikings,Bobby Bryant 24 yard defensive fumble return (Fred Cox kick),3,20
5,4.0,Vikings,Fred Cox 14 yard field goal,3,23
6,4.0,Bears,Gary Kosins 7 yard pass from Bobby Douglass (Mac Percival kick),10,23
