,Quarter,Time,Tm,Detail,NWE,JAX
0,1.0,,Jaguars,Mike Hollis 35 yard field goal,0,3
1,1.0,,Jaguars,Mike Hollis 24 yard field goal,0,6
2,2.0,,Jaguars,Fred Taylor 13 yard rush (run failed),0,12
3,3.0,,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),7,12
4,4.0,,Patriots,Adam Vinatieri 27 yard field goal,10,12
5,4.0,,Jaguars,Jimmy Smith 37 yard pass from Mark Brunell (Mike Hollis kick),10,19
6,4.0,,Jaguars,Mike Hollis 34 yard field goal,10,22
7,4.0,1:47,Jaguars,Mike Hollis 21 yard field goal,10,25
