,Quarter,Tm,Detail,IND,NYJ
0,1.0,Colts,Raul Allegre 44 yard field goal,3,0
1,2.0,Jets,"Safety, ball snapped out of end zone",3,2
2,2.0,Colts,Raul Allegre 46 yard field goal,6,2
3,3.0,Jets,Pat Leahy 27 yard field goal,6,5
4,4.0,Colts,Raul Allegre 25 yard field goal,9,5
