,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,John Huzvar 1 yard rush (Buck McPhail kick),0,7
1,3.0,Rams,Dan Towler 73 yard rush (Ben Agajanian kick),7,7
2,3.0,Colts,George Taliaferro 43 yard rush,7,13
3,4.0,Rams,Vitamin Smith 26 yard pass from Norm Van Brocklin (Ben Agajanian kick),14,13
4,4.0,Rams,Herb Rich 53 yard interception return (Ben Agajanian kick),21,13
