,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,15:00,Chiefs,Tamarick Vanover 89 yard kickoff return (Lin Elliott kick),0,7
1,1.0,15:00,Chiefs,Lin Elliott 37 yard field goal,0,10
2,1.0,15:00,Chiefs,Lin Elliott 20 yard field goal,0,13
3,2.0,15:00,Seahawks,Todd Peterson 34 yard field goal,3,13
4,2.0,15:00,Chiefs,Tamarick Vanover 9 yard pass from Steve Bono (Lin Elliott kick),3,20
5,3.0,15:00,Chiefs,Lin Elliott 20 yard field goal,3,23
6,4.0,15:00,Chiefs,Lin Elliott 27 yard field goal,3,26
