,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Dan Ross 18 yard pass from Ken Anderson (Jim Breech kick),0,7
1,2.0,Bengals,Jim Breech 43 yard field goal,0,10
2,3.0,Bengals,Ken Anderson 2 yard rush (Jim Breech kick),0,17
3,3.0,Bengals,Charles Alexander 7 yard pass from Ken Anderson (Jim Breech kick),0,24
4,4.0,Bengals,Jim Breech 25 yard field goal,0,27
5,4.0,Oilers,Mike Holston 38 yard pass from Gifford Nielsen,6,27
