,Quarter,Tm,Detail,BAL,ATL
0,2.0,Colts,Toni Linhart 37 yard field goal,3,0
1,2.0,Falcons,Haskel Stanback 23 yard rush (Nick Mike-Mayer kick),3,7
2,2.0,Colts,Marty Domres 12 yard rush (Toni Linhart kick),10,7
3,4.0,Colts,Bill Olds 1 yard rush (Toni Linhart kick),17,7
