,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Ted Fritsch 2 yard rush (Ward Cuff kick),0,7
1,1.0,Packers,Ward Cuff 14 yard field goal,0,10
2,2.0,Redskins,John Lookabaugh 6 yard pass from Sammy Baugh (Dick Poillon kick),7,10
3,3.0,Redskins,Dick Poillon 18 yard field goal,10,10
4,4.0,Packers,Nolan Luhn 26 yard pass from Tony Canadeo (Ward Cuff kick),10,17
5,4.0,Packers,Ted Fritsch 49 yard field goal,10,20
6,4.0,Packers,Bob Forte 68 yard interception return (Ward Cuff kick),10,27
