,Quarter,Tm,Detail,BAL,STL
0,1.0,Cardinals,Jim Bakken 26 yard field goal,0,3
1,1.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),7,3
2,2.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),7,10
3,2.0,Colts,Mack Alston 10 yard pass from Bill Troup (Toni Linhart kick),14,10
4,2.0,Colts,Lyle Blackwood 79 yard interception return (Toni Linhart kick),21,10
5,3.0,Cardinals,Wayne Morris 9 yard rush (Jim Bakken kick),21,17
6,3.0,Colts,Toni Linhart 35 yard field goal,24,17
7,4.0,Colts,Bill Troup 5 yard rush,30,17
