,Quarter,Tm,Detail,CHI,PRT
0,2,Bears,Luke Johnsos 49 yard pass from John Doehring (George Corbett pass from Keith Molesworth),7,0
1,4,Spartans,Ace Gutowsky 1 yard rush (Dutch Clark kick),7,7
