,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Jeff White 14 yard field goal,3,0
1,1.0,Bills,Wallace Francis 90 yard kickoff return (John Leypoldt kick),3,7
2,2.0,Bills,O.J. Simpson 6 yard rush (John Leypoldt kick),3,14
3,2.0,Bills,John Leypoldt 34 yard field goal,3,17
4,2.0,Patriots,Jeff White 12 yard field goal,6,17
5,3.0,Bills,Bob Chandler 37 yard pass from Joe Ferguson (John Leypoldt kick),6,24
6,3.0,Bills,John Leypoldt 34 yard field goal,6,27
7,3.0,Patriots,Jim Plunkett 5 yard rush (Jeff White kick),13,27
8,3.0,Bills,Bob Chandler 6 yard pass from Joe Ferguson (John Leypoldt kick),13,34
9,4.0,Bills,John Leypoldt 19 yard field goal,13,37
